	id	created_at	text	lang	hashtags	isRelevant	isRelevant_text
190	1460713777439993856	2021-11-16T20:57:57.000Z	b'this one has the Most satisfying mid-credit and post-credit of all the MARVEL movies\\n #shangchi https://t.co/z2nQjvh0W7'	en	['shangchi']	True	True
191	1460713316142047233	2021-11-16T20:56:07.000Z	"b""RT @Morg_Lamia: Worst thing about #ShangChi? Ben Kingsley's Liverpudlian accent. Good lordy that was bad. I couldn't concentrate on anythin\\u2026"""	en	['ShangChi']	True	True
192	1460713303152345088	2021-11-16T20:56:04.000Z	b'RT @Morg_Lamia: Saw #ShangChi last night. Had a nice little at-home cinema evening with the girlfriend with hog dogs and H\\xe4agen-Dazs. Frick\\u2026'	en	['ShangChi']	True	True
193	1460713013309329410	2021-11-16T20:54:55.000Z	b'REWATCHING: #ShangChi https://t.co/QCfoM0yGTe'	en	['ShangChi']	True	True
194	1460712315062468615	2021-11-16T20:52:09.000Z	"b""RT @BuildU_: \\u201cYou Can't Outrun Who You Really Are.\\u201d #shangchi #12novembre"""	en	['shangchi', '12novembre']	True	True
195	1460712171361419269	2021-11-16T20:51:35.000Z	b'@Bosslogic @wongrel @SimuLiu @shangchi I still haven\\u2019t sat through an official viewing. It means we\\u2019re really working on something BIGGER in our lives. Bless up!'	en	[]	True	True
196	1460712158896050189	2021-11-16T20:51:32.000Z	b'RT @gifshangchi: Happy Marriage #ShangChi https://t.co/dmgh3SatKF'	en	['ShangChi']	True	True
197	1460711899390222337	2021-11-16T20:50:30.000Z	b'#ShangChi\\nDid I get listen correctly? \\nThe good guys arrived in an electric car in the village - and the bad guys in ones with combustion engines?\\n\\nIf yes, interesting choice.'	en	['ShangChi']	True	True
198	1460711248719347714	2021-11-16T20:47:55.000Z	b'RT @somesspells: Shang Chi fancam Simu Liu Xialing Katy Shang Chi movie \\nDevil\\u2019s Advocate by The Neighbourhood \\n#ShangChi #Xialing https://\\u2026'	en	['ShangChi', 'Xialing']	True	True
199	1460711059011080192	2021-11-16T20:47:09.000Z	b'@ThatKevinSmith @marcbernardin @SpiderManMovie @shangchi @TheEternals And what if they save it for the movie?'	en	[]	True	True
